hour,loc,pollutant,value
1,三重,NO2,33.05041782729805
2,三重,NO2,29.029526462395545
3,三重,NO2,27.006424581005586
4,三重,NO2,25.080222841225623
5,三重,NO2,24.61173184357542
6,三重,NO2,28.701117318435752
7,三重,NO2,35.62849162011173
8,三重,NO2,41.986033519553075
9,三重,NO2,44.83098591549296
10,三重,NO2,46.59887005649718
11,三重,NO2,46.588921282798836
12,三重,NO2,45.9364161849711
13,三重,NO2,43.36
14,三重,NO2,43.35207100591716
15,三重,NO2,44.229166666666664
16,三重,NO2,45.02906976744186
17,三重,NO2,46.41456582633053
18,三重,NO2,48.15469613259668
19,三重,NO2,47.88154269972452
20,三重,NO2,45.54696132596685
21,三重,NO2,43.37845303867403
22,三重,NO2,42.06353591160221
23,三重,NO2,40.80635359116022
24,三重,NO2,37.34972375690608
1,三重,PM10,54.86857142857143
2,三重,PM10,52.74498567335244
3,三重,PM10,51.2
4,三重,PM10,50.15186246418338
5,三重,PM10,49.083333333333336
6,三重,PM10,49.67528735632184
7,三重,PM10,52.264367816091955
8,三重,PM10,58.68103448275862
9,三重,PM10,63.98
10,三重,PM10,68.25356125356126
11,三重,PM10,69.19596541786744
12,三重,PM10,69.86285714285714
13,三重,PM10,68.0
14,三重,PM10,66.0865671641791
15,三重,PM10,64.78717201166181
16,三重,PM10,65.65625
17,三重,PM10,67.34831460674157
18,三重,PM10,66.99154929577465
19,三重,PM10,67.21126760563381
20,三重,PM10,66.77401129943503
21,三重,PM10,64.57627118644068
22,三重,PM10,62.240793201133144
23,三重,PM10,59.813031161473084
24,三重,PM10,57.58923512747875
1,三重,SO2,2.7580441640378566
2,三重,SO2,2.535761589403974
3,三重,SO2,2.5415584415584433
4,三重,SO2,2.5000000000000004
5,三重,SO2,2.4561290322580644
6,三重,SO2,2.6743589743589746
7,三重,SO2,3.371384615384622
8,三重,SO2,4.208761329305137
9,三重,SO2,4.371951219512197
10,三重,SO2,4.023333333333335
11,三重,SO2,3.7108024691358037
12,三重,SO2,3.5094801223241587
13,三重,SO2,3.302461538461537
14,三重,SO2,3.1708860759493653
15,三重,SO2,3.194801223241591
16,三重,SO2,3.2435820895522385
17,三重,SO2,3.346312684365781
18,三重,SO2,3.6858407079646005
19,三重,SO2,3.889149560117303
20,三重,SO2,3.6923529411764697
21,三重,SO2,3.5642011834319556
22,三重,SO2,3.6094955489614247
