,no,date,lon,lat,depth,scale,month
0,小區域,2013-01-01 03:00:00,120.33,23.25,10.0,3.0,1
2,小區域,2013-01-01 05:07:00,120.81,22.66,41.7,3.9,1
4,小區域,2013-01-02 10:09:00,121.29,22.85,18.4,3.2,1
6,第001號,2013-01-02 20:01:00,121.74,23.97,7.1,4.7,1
8,小區域,2013-01-02 20:23:00,121.89,24.44,12.7,3.7,1
10,小區域,2013-01-03 01:04:00,121.8,24.39,22.7,3.0,1
12,小區域,2013-01-03 20:08:00,121.3,22.78,18.4,4.2,1
14,第002號,2013-01-03 22:00:00,121.73,23.98,6.8,4.5,1
16,第003號,2013-01-03 22:37:00,121.74,23.98,7.0,4.3,1
18,第004號,2013-01-04 02:08:00,121.73,23.99,6.8,4.7,1
20,第005號,2013-01-04 11:29:00,122.36,24.01,24.4,4.9,1
22,小區域,2013-01-04 15:41:00,121.47,23.8,12.0,3.0,1
24,第006號,2013-01-05 04:38:00,122.43,24.35,71.4,5.0,1
26,小區域,2013-01-06 03:20:00,121.48,23.92,15.5,2.4,1
28,小區域,2013-01-06 19:26:00,121.97,24.81,7.5,3.5,1
30,第007號,2013-01-07 14:49:00,122.84,24.48,69.4,5.7,1
32,小區域,2013-01-08 13:00:00,121.04,22.82,8.8,3.9,1
34,小區域,2013-01-12 20:34:00,122.35,24.02,24.7,4.8,1
36,第008號,2013-01-13 06:47:00,119.88,22.33,42.2,3.6,1
38,第009號,2013-01-14 22:27:00,121.25,22.8,15.7,4.0,1
40,小區域,2013-01-16 01:34:00,121.69,23.05,23.6,3.9,1
42,小區域,2013-01-16 09:31:00,121.56,25.16,4.0,2.7,1
44,小區域,2013-01-16 23:46:00,121.58,23.82,24.6,3.0,1
46,小區域,2013-01-17 09:57:00,120.36,23.1,16.6,3.1,1
48,小區域,2013-01-17 13:09:00,121.29,22.85,42.6,4.3,1
50,小區域,2013-01-17 13:15:00,121.27,22.85,42.3,4.1,1
52,第010號,2013-01-17 16:30:00,121.98,24.44,13.7,5.1,1
54,小區域,2013-01-17 16:35:00,121.98,24.45,12.5,3.4,1
56,小區域,2013-01-17 16:43:00,121.99,24.44,14.0,3.3,1
58,小區域,2013-01-17 19:04:00,121.99,24.45,12.9,3.7,1
60,小區域,2013-01-18 01:38:00,121.98,24.45,14.0,3.1,1
62,小區域,2013-01-18 09:52:00,120.97,23.16,5.9,3.5,1
64,小區域,2013-01-18 15:14:00,120.97,23.17,6.1,3.6,1
66,小區域,2013-01-19 06:57:00,120.85,24.25,8.1,2.3,1
68,小區域,2013-01-19 08:30:00,121.97,24.41,47.7,4.2,1
70,小區域,2013-01-19 17:50:00,121.95,24.4,19.6,3.3,1
72,小區域,2013-01-20 06:06:00,121.63,24.06,9.0,3.1,1
74,小區域,2013-01-20 16:25:00,121.52,24.04,16.6,2.4,1
76,第011號,2013-01-21 03:09:00,122.52,24.7,108.2,5.6,1
78,小區域,2013-01-22 07:02:00,121.75,24.01,6.9,3.7,1
80,小區域,2013-01-26 02:20:00,121.46,23.9,17.2,2.5,1
82,小區域,2013-01-27 17:24:00,121.97,24.45,13.8,3.2,1
84,小區域,2013-01-28 00:21:00,121.96,24.45,12.5,3.3,1
86,小區域,2013-01-28 04:36:00,120.98,24.35,7.0,3.6,1
88,小區域,2013-01-28 05:03:00,120.96,23.16,4.7,3.3,1
90,小區域,2013-01-28 10:10:00,120.97,23.15,5.3,3.2,1
92,第012號,2013-01-28 23:20:00,121.74,24.18,12.2,3.1,1
94,第013號,2013-01-29 04:41:00,121.47,23.95,17.8,2.9,1
96,小區域,2013-01-30 17:35:00,121.51,23.23,38.0,3.7,1
98,小區域,2013-01-30 18:45:00,121.96,24.46,12.7,2.9,1
